IMAGE,JNAME,RA,DEC,System_Type,Lens_Type,Source_Type,theta_E,theta_EErr,theta_EMethod,theta_ERef,z_L,z_LErr,z_LType,z_LRef,velDisp,velDispErr,velDispRef,z_S,z_SErr,z_SType,z_SRef,mag_u,mag_uErr,mag_uRef,mag_uS,mag_uSRef,mag_g,mag_gErr,mag_gRef,mag_gS,mag_gSRef,mag_r,mag_rErr,mag_rRef,mag_rS,mag_rSRef,mag_i,mag_iErr,mag_iRef,mag_iS,mag_iSRef,mag_z,mag_zErr,mag_zRef,mag_zS,mag_zSRef,mag_y,mag_yErr,mag_yRef,mag_F814W,mag_F814WErr,mag_F814WRef,mag_F814WS,mag_F814WSRef
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J062736.3-542657.7.png"")",J062736.3-542657.7,96.90104,-54.44936,,,,,,,,0.04856026097894697,8.339102379953801e-05,S,2MASS,,,,0.3971,,,Moustakas et al. (2012) - adsabs:2012hst..prop12833M,,,,,,14.00641,,Legacy DR9,,,13.001175,,Legacy DR9,,,13.136852,0.00072805694,DES DR2,,,12.239614,,Legacy DR9,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J075543.9+110822.4.png"")",J075543.9+110822.4,118.93287,11.13956,Single Lens Galaxy,GALAXY,GALAXY,,,,,0.41530868,9.192361e-05,S,SDSS DR17,189.70325,35.527058,SDSS DR17,1.1186916,,S,Talbot et al. (2020) - arXiv:2007.09006,25.278704,1.5525994,SDSS DR17,,,21.00019,,Legacy DR9,,,19.217798,,Legacy DR9,,,18.915606,0.015386,DELVE DR2,,,18.2786,,Legacy DR9,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J075548.5+111659.8.png"")",J075548.5+111659.8,118.95221,11.28328,,,,,,,,0.13783583,0.0,S,SDSS DR17,47.763504,36.73069,SDSS DR17,0.3448,,S,Shu et al. (2017) - arXiv:1711.00072,19.536293,0.043040555,SDSS DR17,,,18.13281,,Legacy DR9,,,17.654821,,Legacy DR9,,,17.54116,0.007965,DELVE DR2,,,17.26643,,Legacy DR9,,,,,,17.16,0.05,Shu et al. (2017) - arXiv:1711.00072,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J080013.1+081208.4.png"")",J080013.1+081208.4,120.05442,8.20232,Single Lens Galaxy,GALAXY,GALAXY,,,,,0.3143452,5.6767727e-05,S,SDSS DR17,302.02383,19.278158,SDSS DR17,1.408,0.001,S,Moustakas et al. (2012) - adsabs:2012hst..prop12833M,21.770912,0.388102,SDSS DR17,20.3,Moustakas et al. (2012) - adsabs:2012hst..prop12833M,18.833073,,Legacy DR9,19.9,Moustakas et al. (2012) - adsabs:2012hst..prop12833M,17.229969,,Legacy DR9,19.9,Moustakas et al. (2012) - adsabs:2012hst..prop12833M,16.967018,0.006152,DELVE DR2,20.0,Moustakas et al. (2012) - adsabs:2012hst..prop12833M,16.387169,,Legacy DR9,19.4,Moustakas et al. (2012) - adsabs:2012hst..prop12833M,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J080820.4+103142.2.png"")",J080820.4+103142.2,122.0851,10.5284,,,,,,,,0.47541884,0.0,S,SDSS DR17,274.8427,61.561234,SDSS DR17,1.23742,,S,Tran et al. (2022) - arXiv:2205.05307,23.546535,2.9210618,SDSS DR17,,,19.852682,,Legacy DR9,,,18.055763,,Legacy DR9,,,17.868147,0.014236,DELVE DR2,,,16.999678,,Legacy DR9,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J080844.6+140050.2.png"")",J080844.6+140050.2,122.18596,14.01394,Single Lens Galaxy,GALAXY,GALAXY,,,,,0.208754,3.3596105e-05,S,SDSS DR17,227.3891,12.5415,SDSS DR17,1.0238013,,S,Talbot et al. (2020) - arXiv:2007.09006,21.417341,0.18912618,SDSS DR17,,,19.171213,,Legacy DR9,,,17.8792,,Legacy DR9,,,17.53978,0.005921,DELVE DR2,,,17.084368,,Legacy DR9,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J080852.3+145145.3.png"")",J080852.3+145145.3,122.21788,14.86259,,,,,,,,0.0843183,0.0,S,SDSS DR17,175.40572,8.5458,SDSS DR17,0.32648134,0.00028794346,S,Talbot et al. (2022) - arXiv:2206.09902,18.202854,0.04138679,SDSS DR17,,,16.371052,0.002482,DELVE DR2,,,15.541824,0.001268,DELVE DR2,,,15.201143,0.001554,DELVE DR2,,,14.924206,0.001655,DELVE DR2,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J081315.9+095953.1.png"")",J081315.9+095953.1,123.31642,9.99808,,,,,,,,0.15652312,0.0,S,SDSS DR17,198.47784,13.078558,SDSS DR17,1.1851,,S,Shu et al. (2017) - arXiv:1711.00072,19.44984,0.056143083,SDSS DR17,,,17.72733,,Legacy DR9,,,16.720758,,Legacy DR9,,,16.510586,0.003528,DELVE DR2,,,15.991319,,Legacy DR9,,,,,,16.36,0.05,Shu et al. (2017) - arXiv:1711.00072,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J081552.5+063530.3.png"")",J081552.5+063530.3,123.96858,6.59174,Single Lens Galaxy,GALAXY,GALAXY,,,,,0.22679818,3.9212766e-05,S,SDSS DR17,247.21416,17.238216,SDSS DR17,1.2344358,,S,Talbot et al. (2020) - arXiv:2007.09006,21.540215,0.17180197,SDSS DR17,,,19.156857,,Legacy DR9,,,17.72696,,Legacy DR9,,,17.318745,0.003451,DELVE DR2,,,16.932487,,Legacy DR9,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J082139.0+121729.0.png"")",J082139.0+121729.0,125.4125,12.29139,Single Lens Galaxy,GALAXY,QUASAR,3.07,0.01,SIE model,Moustakas et al. (2012) - adsabs:2012hst..prop12833M,0.39,0.01,S,Moustakas et al. (2012) - adsabs:2012hst..prop12833M,,,,3.1144,0.0001,S,Moustakas et al. (2012) - adsabs:2012hst..prop12833M,,,,,,,,,,,,,,,,,,,,,19.07,,Moustakas et al. (2012) - adsabs:2012hst..prop12833M,18.54,Moustakas et al. (2012) - adsabs:2012hst..prop12833M,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J082157.3+102556.1.png"")",J082157.3+102556.1,125.48858,10.43226,Single Lens Galaxy,GALAXY,GALAXY,,,,,0.09419287,0.0,S,SDSS DR17,143.97044,11.802174,SDSS DR17,0.657,0.001,S,Moustakas et al. (2012) - adsabs:2012hst..prop12833M,19.844671,0.10728035,SDSS DR17,,,17.545687,,Legacy DR9,,,16.54283,,Legacy DR9,,,16.41919,0.00232,DELVE DR2,,,15.694564,,Legacy DR9,,,,,,,,,,
